stressTest_6.dasm (line 1):     [0x0000] 5E35 1000 1000  IFA [0x1000+B], [0x1000+J]
stressTest_6.dasm (line 111):   [0x0120] 42F5 1000 1000  IFA [J+0x1000], [A+0x1000]
stressTest_6.dasm (line 112):   [0x0123] 42F5 0010 0010  IFA [J+0x10], [A+0x10]
stressTest_6.dasm (line 113):   [0x0126] 4315 1000       IFA PUSH, [A+0x1000]
stressTest_6.dasm (line 114):   [0x0128] 4315 0010       IFA PUSH, [A+0x10]
stressTest_6.dasm (line 115):   [0x012A] 4335 1000       IFA [SP], [A+0x1000]
stressTest_6.dasm (line 116):   [0x012C] 4335 0010       IFA [SP], [A+0x10]
stressTest_6.dasm (line 117):   [0x012E] 4355 1000 1000  IFA [SP+0x1000], [A+0x1000]
stressTest_6.dasm (line 118):   [0x0131] 4355 0010 0010  IFA [SP+0x10], [A+0x10]
stressTest_6.dasm (line 119):   [0x0134] 4355 1000 1000  IFA PICK 0x1000, [A+0x1000]
stressTest_6.dasm (line 120):   [0x0137] 4355 0010 0010  IFA PICK 0x10, [A+0x10]
stressTest_6.dasm (line 121):   [0x013A] 4375 1000       IFA SP, [A+0x1000]
stressTest_6.dasm (line 122):   [0x013C] 4375 0010       IFA SP, [A+0x10]
stressTest_6.dasm (line 123):   [0x013E] 4395 1000       IFA PC, [A+0x1000]
stressTest_6.dasm (line 124):   [0x0140] 4395 0010       IFA PC, [A+0x10]
stressTest_6.dasm (line 125):   [0x0142] 43B5 1000       IFA EX, [A+0x1000]
stressTest_6.dasm (line 126):   [0x0144] 43B5 0010       IFA EX, [A+0x10]
stressTest_6.dasm (line 127):   [0x0146] 43D5 1000 1000  IFA [0x1000], [A+0x1000]
stressTest_6.dasm (line 128):   [0x0149] 43D5 0010 0010  IFA [0x10], [A+0x10]
stressTest_6.dasm (line 129):   [0x014C] 43F5 1000 1000  IFA 0x1000, [A+0x1000]
stressTest_6.dasm (line 130):   [0x014F] 43F5 0010 0010  IFA 0x10, [A+0x10]
stressTest_6.dasm (line 131):   [0x0152] 4415 1000       IFA A, [B+0x1000]
stressTest_6.dasm (line 132):   [0x0154] 4415 0010       IFA A, [B+0x10]
stressTest_6.dasm (line 133):   [0x0156] 4435 1000       IFA B, [B+0x1000]
stressTest_6.dasm (line 134):   [0x0158] 4435 0010       IFA B, [B+0x10]
stressTest_6.dasm (line 135):   [0x015A] 4455 1000       IFA C, [B+0x1000]
stressTest_6.dasm (line 136):   [0x015C] 4455 0010       IFA C, [B+0x10]
stressTest_6.dasm (line 137):   [0x015E] 4475 1000       IFA X, [B+0x1000]
stressTest_6.dasm (line 138):   [0x0160] 4475 0010       IFA X, [B+0x10]
stressTest_6.dasm (line 139):   [0x0162] 4495 1000       IFA Y, [B+0x1000]
stressTest_6.dasm (line 140):   [0x0164] 4495 0010       IFA Y, [B+0x10]
stressTest_6.dasm (line 141):   [0x0166] 44B5 1000       IFA Z, [B+0x1000]
stressTest_6.dasm (line 142):   [0x0168] 44B5 0010       IFA Z, [B+0x10]
stressTest_6.dasm (line 143):   [0x016A] 44D5 1000       IFA I, [B+0x1000]
stressTest_6.dasm (line 144):   [0x016C] 44D5 0010       IFA I, [B+0x10]
stressTest_6.dasm (line 145):   [0x016E] 44F5 1000       IFA J, [B+0x1000]
stressTest_6.dasm (line 146):   [0x0170] 44F5 0010       IFA J, [B+0x10]
stressTest_6.dasm (line 147):   [0x0172] 4515 1000       IFA [A], [B+0x1000]
stressTest_6.dasm (line 148):   [0x0174] 4515 0010       IFA [A], [B+0x10]
stressTest_6.dasm (line 149):   [0x0176] 4535 1000       IFA [B], [B+0x1000]
stressTest_6.dasm (line 150):   [0x0178] 4535 0010       IFA [B], [B+0x10]
stressTest_6.dasm (line 151):   [0x017A] 4555 1000       IFA [C], [B+0x1000]
stressTest_6.dasm (line 152):   [0x017C] 4555 0010       IFA [C], [B+0x10]
stressTest_6.dasm (line 153):   [0x017E] 4575 1000       IFA [X], [B+0x1000]
stressTest_6.dasm (line 154):   [0x0180] 4575 0010       IFA [X], [B+0x10]
stressTest_6.dasm (line 155):   [0x0182] 4595 1000       IFA [Y], [B+0x1000]
stressTest_6.dasm (line 156):   [0x0184] 4595 0010       IFA [Y], [B+0x10]
stressTest_6.dasm (line 157):   [0x0186] 45B5 1000       IFA [Z], [B+0x1000]
stressTest_6.dasm (line 158):   [0x0188] 45B5 0010       IFA [Z], [B+0x10]
stressTest_6.dasm (line 159):   [0x018A] 45D5 1000       IFA [I], [B+0x1000]
stressTest_6.dasm (line 160):   [0x018C] 45D5 0010       IFA [I], [B+0x10]
stressTest_6.dasm (line 161):   [0x018E] 45F5 1000       IFA [J], [B+0x1000]
stressTest_6.dasm (line 162):   [0x0190] 45F5 0010       IFA [J], [B+0x10]
stressTest_6.dasm (line 163):   [0x0192] 4615 1000 1000  IFA [0x1000+A], [B+0x1000]
stressTest_6.dasm (line 164):   [0x0195] 4615 0010 0010  IFA [0x10+A], [B+0x10]
stressTest_6.dasm (line 165):   [0x0198] WARNING: Redundant statement.
stressTest_6.dasm (line 165):   [0x0198] 4635 1000 1000  IFA [0x1000+B], [B+0x1000]
stressTest_6.dasm (line 166):   [0x019B] WARNING: Redundant statement.
stressTest_6.dasm (line 166):   [0x019B] 4635 0010 0010  IFA [0x10+B], [B+0x10]
stressTest_6.dasm (line 167):   [0x019E] 4655 1000 1000  IFA [0x1000+C], [B+0x1000]
stressTest_6.dasm (line 168):   [0x01A1] 4655 0010 0010  IFA [0x10+C], [B+0x10]
stressTest_6.dasm (line 169):   [0x01A4] 4675 1000 1000  IFA [0x1000+X], [B+0x1000]
stressTest_6.dasm (line 170):   [0x01A7] 4675 0010 0010  IFA [0x10+X], [B+0x10]
stressTest_6.dasm (line 171):   [0x01AA] 4695 1000 1000  IFA [0x1000+Y], [B+0x1000]
stressTest_6.dasm (line 172):   [0x01AD] 4695 0010 0010  IFA [0x10+Y], [B+0x10]
stressTest_6.dasm (line 173):   [0x01B0] 46B5 1000 1000  IFA [0x1000+Z], [B+0x1000]
stressTest_6.dasm (line 174):   [0x01B3] 46B5 0010 0010  IFA [0x10+Z], [B+0x10]
stressTest_6.dasm (line 175):   [0x01B6] 46D5 1000 1000  IFA [0x1000+I], [B+0x1000]
stressTest_6.dasm (line 176):   [0x01B9] 46D5 0010 0010  IFA [0x10+I], [B+0x10]
stressTest_6.dasm (line 177):   [0x01BC] 46F5 1000 1000  IFA [0x1000+J], [B+0x1000]
stressTest_6.dasm (line 178):   [0x01BF] 46F5 0010 0010  IFA [0x10+J], [B+0x10]
stressTest_6.dasm (line 179):   [0x01C2] 4615 1000 1000  IFA [A+0x1000], [B+0x1000]
stressTest_6.dasm (line 180):   [0x01C5] 4615 0010 0010  IFA [A+0x10], [B+0x10]
stressTest_6.dasm (line 181):   [0x01C8] WARNING: Redundant statement.
stressTest_6.dasm (line 181):   [0x01C8] 4635 1000 1000  IFA [B+0x1000], [B+0x1000]
stressTest_6.dasm (line 182):   [0x01CB] WARNING: Redundant statement.
stressTest_6.dasm (line 182):   [0x01CB] 4635 0010 0010  IFA [B+0x10], [B+0x10]
stressTest_6.dasm (line 183):   [0x01CE] 4655 1000 1000  IFA [C+0x1000], [B+0x1000]
stressTest_6.dasm (line 184):   [0x01D1] 4655 0010 0010  IFA [C+0x10], [B+0x10]
stressTest_6.dasm (line 185):   [0x01D4] 4675 1000 1000  IFA [X+0x1000], [B+0x1000]
stressTest_6.dasm (line 186):   [0x01D7] 4675 0010 0010  IFA [X+0x10], [B+0x10]
stressTest_6.dasm (line 187):   [0x01DA] 4695 1000 1000  IFA [Y+0x1000], [B+0x1000]
stressTest_6.dasm (line 188):   [0x01DD] 4695 0010 0010  IFA [Y+0x10], [B+0x10]
stressTest_6.dasm (line 189):   [0x01E0] 46B5 1000 1000  IFA [Z+0x1000], [B+0x1000]
stressTest_6.dasm (line 190):   [0x01E3] 46B5 0010 0010  IFA [Z+0x10], [B+0x10]
stressTest_6.dasm (line 191):   [0x01E6] 46D5 1000 1000  IFA [I+0x1000], [B+0x1000]
stressTest_6.dasm (line 192):   [0x01E9] 46D5 0010 0010  IFA [I+0x10], [B+0x10]
stressTest_6.dasm (line 193):   [0x01EC] 46F5 1000 1000  IFA [J+0x1000], [B+0x1000]
stressTest_6.dasm (line 194):   [0x01EF] 46F5 0010 0010  IFA [J+0x10], [B+0x10]
stressTest_6.dasm (line 195):   [0x01F2] 4715 1000       IFA PUSH, [B+0x1000]
stressTest_6.dasm (line 196):   [0x01F4] 4715 0010       IFA PUSH, [B+0x10]
stressTest_6.dasm (line 197):   [0x01F6] 4735 1000       IFA [SP], [B+0x1000]
stressTest_6.dasm (line 198):   [0x01F8] 4735 0010       IFA [SP], [B+0x10]
stressTest_6.dasm (line 199):   [0x01FA] 4755 1000 1000  IFA [SP+0x1000], [B+0x1000]
stressTest_6.dasm (line 200):   [0x01FD] 4755 0010 0010  IFA [SP+0x10], [B+0x10]
stressTest_6.dasm (line 201):   [0x0200] 4755 1000 1000  IFA PICK 0x1000, [B+0x1000]
stressTest_6.dasm (line 202):   [0x0203] 4755 0010 0010  IFA PICK 0x10, [B+0x10]
stressTest_6.dasm (line 203):   [0x0206] 4775 1000       IFA SP, [B+0x1000]
stressTest_6.dasm (line 204):   [0x0208] 4775 0010       IFA SP, [B+0x10]
stressTest_6.dasm (line 205):   [0x020A] 4795 1000       IFA PC, [B+0x1000]
stressTest_6.dasm (line 206):   [0x020C] 4795 0010       IFA PC, [B+0x10]
stressTest_6.dasm (line 207):   [0x020E] 47B5 1000       IFA EX, [B+0x1000]
stressTest_6.dasm (line 208):   [0x0210] 47B5 0010       IFA EX, [B+0x10]
stressTest_6.dasm (line 209):   [0x0212] 47D5 1000 1000  IFA [0x1000], [B+0x1000]
stressTest_6.dasm (line 210):   [0x0215] 47D5 0010 0010  IFA [0x10], [B+0x10]
stressTest_6.dasm (line 211):   [0x0218] 47F5 1000 1000  IFA 0x1000, [B+0x1000]
stressTest_6.dasm (line 212):   [0x021B] 47F5 0010 0010  IFA 0x10, [B+0x10]
stressTest_6.dasm (line 213):   [0x021E] 4815 1000       IFA A, [C+0x1000]
stressTest_6.dasm (line 214):   [0x0220] 4815 0010       IFA A, [C+0x10]
stressTest_6.dasm (line 215):   [0x0222] 4835 1000       IFA B, [C+0x1000]
stressTest_6.dasm (line 216):   [0x0224] 4835 0010       IFA B, [C+0x10]
stressTest_6.dasm (line 217):   [0x0226] 4855 1000       IFA C, [C+0x1000]
stressTest_6.dasm (line 218):   [0x0228] 4855 0010       IFA C, [C+0x10]
stressTest_6.dasm (line 219):   [0x022A] 4875 1000       IFA X, [C+0x1000]
stressTest_6.dasm (line 220):   [0x022C] 4875 0010       IFA X, [C+0x10]
stressTest_6.dasm (line 221):   [0x022E] 4895 1000       IFA Y, [C+0x1000]
stressTest_6.dasm (line 222):   [0x0230] 4895 0010       IFA Y, [C+0x10]
stressTest_6.dasm (line 223):   [0x0232] 48B5 1000       IFA Z, [C+0x1000]
stressTest_6.dasm (line 224):   [0x0234] 48B5 0010       IFA Z, [C+0x10]
stressTest_6.dasm (line 225):   [0x0236] 48D5 1000       IFA I, [C+0x1000]
stressTest_6.dasm (line 226):   [0x0238] 48D5 0010       IFA I, [C+0x10]
stressTest_6.dasm (line 227):   [0x023A] 48F5 1000       IFA J, [C+0x1000]
stressTest_6.dasm (line 228):   [0x023C] 48F5 0010       IFA J, [C+0x10]
stressTest_6.dasm (line 229):   [0x023E] 4915 1000       IFA [A], [C+0x1000]
stressTest_6.dasm (line 230):   [0x0240] 4915 0010       IFA [A], [C+0x10]
stressTest_6.dasm (line 231):   [0x0242] 4935 1000       IFA [B], [C+0x1000]
stressTest_6.dasm (line 232):   [0x0244] 4935 0010       IFA [B], [C+0x10]
stressTest_6.dasm (line 233):   [0x0246] 4955 1000       IFA [C], [C+0x1000]
stressTest_6.dasm (line 234):   [0x0248] 4955 0010       IFA [C], [C+0x10]
stressTest_6.dasm (line 235):   [0x024A] 4975 1000       IFA [X], [C+0x1000]
stressTest_6.dasm (line 236):   [0x024C] 4975 0010       IFA [X], [C+0x10]
stressTest_6.dasm (line 237):   [0x024E] 4995 1000       IFA [Y], [C+0x1000]
stressTest_6.dasm (line 238):   [0x0250] 4995 0010       IFA [Y], [C+0x10]
stressTest_6.dasm (line 239):   [0x0252] 49B5 1000       IFA [Z], [C+0x1000]
stressTest_6.dasm (line 240):   [0x0254] 49B5 0010       IFA [Z], [C+0x10]
stressTest_6.dasm (line 241):   [0x0256] 49D5 1000       IFA [I], [C+0x1000]
stressTest_6.dasm (line 242):   [0x0258] 49D5 0010       IFA [I], [C+0x10]
stressTest_6.dasm (line 243):   [0x025A] 49F5 1000       IFA [J], [C+0x1000]
stressTest_6.dasm (line 244):   [0x025C] 49F5 0010       IFA [J], [C+0x10]
stressTest_6.dasm (line 245):   [0x025E] 4A15 1000 1000  IFA [0x1000+A], [C+0x1000]
stressTest_6.dasm (line 246):   [0x0261] 4A15 0010 0010  IFA [0x10+A], [C+0x10]
stressTest_6.dasm (line 247):   [0x0264] 4A35 1000 1000  IFA [0x1000+B], [C+0x1000]
stressTest_6.dasm (line 248):   [0x0267] 4A35 0010 0010  IFA [0x10+B], [C+0x10]
stressTest_6.dasm (line 249):   [0x026A] WARNING: Redundant statement.
stressTest_6.dasm (line 249):   [0x026A] 4A55 1000 1000  IFA [0x1000+C], [C+0x1000]
stressTest_6.dasm (line 250):   [0x026D] WARNING: Redundant statement.
stressTest_6.dasm (line 250):   [0x026D] 4A55 0010 0010  IFA [0x10+C], [C+0x10]
stressTest_6.dasm (line 251):   [0x0270] 4A75 1000 1000  IFA [0x1000+X], [C+0x1000]
stressTest_6.dasm (line 252):   [0x0273] 4A75 0010 0010  IFA [0x10+X], [C+0x10]
stressTest_6.dasm (line 253):   [0x0276] 4A95 1000 1000  IFA [0x1000+Y], [C+0x1000]
stressTest_6.dasm (line 254):   [0x0279] 4A95 0010 0010  IFA [0x10+Y], [C+0x10]
stressTest_6.dasm (line 255):   [0x027C] 4AB5 1000 1000  IFA [0x1000+Z], [C+0x1000]
stressTest_6.dasm (line 256):   [0x027F] 4AB5 0010 0010  IFA [0x10+Z], [C+0x10]
stressTest_6.dasm (line 257):   [0x0282] 4AD5 1000 1000  IFA [0x1000+I], [C+0x1000]
stressTest_6.dasm (line 258):   [0x0285] 4AD5 0010 0010  IFA [0x10+I], [C+0x10]
stressTest_6.dasm (line 259):   [0x0288] 4AF5 1000 1000  IFA [0x1000+J], [C+0x1000]
stressTest_6.dasm (line 260):   [0x028B] 4AF5 0010 0010  IFA [0x10+J], [C+0x10]
stressTest_6.dasm (line 261):   [0x028E] 4A15 1000 1000  IFA [A+0x1000], [C+0x1000]
stressTest_6.dasm (line 262):   [0x0291] 4A15 0010 0010  IFA [A+0x10], [C+0x10]
stressTest_6.dasm (line 263):   [0x0294] 4A35 1000 1000  IFA [B+0x1000], [C+0x1000]
stressTest_6.dasm (line 264):   [0x0297] 4A35 0010 0010  IFA [B+0x10], [C+0x10]
stressTest_6.dasm (line 265):   [0x029A] WARNING: Redundant statement.
stressTest_6.dasm (line 265):   [0x029A] 4A55 1000 1000  IFA [C+0x1000], [C+0x1000]
stressTest_6.dasm (line 266):   [0x029D] WARNING: Redundant statement.
stressTest_6.dasm (line 266):   [0x029D] 4A55 0010 0010  IFA [C+0x10], [C+0x10]
stressTest_6.dasm (line 267):   [0x02A0] 4A75 1000 1000  IFA [X+0x1000], [C+0x1000]
stressTest_6.dasm (line 268):   [0x02A3] 4A75 0010 0010  IFA [X+0x10], [C+0x10]
stressTest_6.dasm (line 269):   [0x02A6] 4A95 1000 1000  IFA [Y+0x1000], [C+0x1000]
stressTest_6.dasm (line 270):   [0x02A9] 4A95 0010 0010  IFA [Y+0x10], [C+0x10]
stressTest_6.dasm (line 271):   [0x02AC] 4AB5 1000 1000  IFA [Z+0x1000], [C+0x1000]
stressTest_6.dasm (line 272):   [0x02AF] 4AB5 0010 0010  IFA [Z+0x10], [C+0x10]
stressTest_6.dasm (line 273):   [0x02B2] 4AD5 1000 1000  IFA [I+0x1000], [C+0x1000]
stressTest_6.dasm (line 274):   [0x02B5] 4AD5 0010 0010  IFA [I+0x10], [C+0x10]
stressTest_6.dasm (line 275):   [0x02B8] 4AF5 1000 1000  IFA [J+0x1000], [C+0x1000]
